date,vix,vix_indexed_d0,vix_delta_vs_d0_pct,dxy,dxy_indexed_d0,dxy_delta_vs_d0_pct,eurusd,eurusd_indexed_d0,eurusd_delta_vs_d0_pct,jpyusd,jpyusd_indexed_d0,jpyusd_delta_vs_d0_pct
2025-08-04,17.520000457763672,107.55064133276943,7.550641332769442,98.58599853515625,101.23740963004946,1.2374096300494473,1.158668041229248,98.72894612597342,-1.271053874026587,147.34300231933594,99.55810474154849,-0.4418952584515046
2025-08-05,17.850000381469727,109.5764234393346,9.576423439334608,98.58100128173828,101.23227797850849,1.2322779785084865,1.1584129333496094,98.70720863843691,-1.292791361563084,146.79299926757812,99.18647350984331,-0.8135264901566954
2025-08-06,16.770000457763672,102.94659002614787,2.9465900261478866,97.98300170898438,100.61819556716188,0.6181955671618802,1.1579166650772095,98.66492211478531,-1.3350778852146892,147.55999755859375,99.70472612443321,-0.29527387556679047
2025-08-07,16.56999969482422,101.71883832756563,1.7188383275656238,98.22899627685547,100.87080601087972,0.870806010879728,1.1663167476654053,99.38068475929897,-0.619315240701028,147.1929931640625,99.45674514551871,-0.5432548544812932
2025-08-08,15.149999618530273,93.00183405201383,-6.998165947986172,98.00900268554688,100.64489582433988,0.6448958243398856,1.1676650047302246,99.49556839669981,-0.5044316033001975,146.83700561523438,99.21620813246052,-0.7837918675394734
2025-08-11,16.25,99.75444497680037,-0.24555502319963396,98.36100006103516,101.00635995738614,1.0063599573861388,1.1647952795028687,99.25104197732313,-0.7489580226768721,147.66400146484375,99.77500046138154,-0.22499953861845973
2025-08-12,14.729999542236328,90.42356485195744,-9.576435148042561,97.927001953125,100.5606897315731,0.5606897315731011,1.1618449687957764,98.99964894973398,-1.00035105026601,148.125,100.08649228472117,0.08649228472117759
2025-08-13,14.489999771118164,88.9502698388835,-11.049730161116505,97.66200256347656,100.2885633428346,0.2885633428345927,1.1677058935165405,99.49905248932832,-0.5009475106716843,147.75799560546875,99.83851130580668,-0.16148869419332515
2025-08-14,14.829999923706055,91.03744070124857,-8.96255929875143,98.10299682617188,100.74141788080497,0.7414178808049752,1.171289324760437,99.8043930852849,-0.19560691471510075,147.1199951171875,99.40742113906906,-0.5925788609309433
2025-08-15,15.09000015258789,92.63351322592233,-7.36648677407767,97.71199798583984,100.33990336199172,0.33990336199171384,1.1651345491409302,99.27995080420577,-0.7200491957942228,147.6909942626953,99.79323920874972,-0.20676079125026767
